Height,No. of players,Average avg,Average HR
<71,171,0.23,35.91
71,145,0.21,47.21
72,232,0.21,42.30
73,194,0.19,50.97
74,180,0.18,61.14
75,121,0.15,49.57
>75,114,0.08,24.46
